"","Cell1","Cell2","Cell3","Cell4","Cell5","Cell6","Cell7","Cell8","Cell9","Cell10","Cell11","Cell12","Cell13","Cell14","Cell15","Cell16","Cell17","Cell18","Cell19","Cell20","Cell21","Cell22","Cell23","Cell24","Cell25","Cell26","Cell27","Cell28","Cell29","Cell30","Cell31","Cell32","Cell33","Cell34","Cell35","Cell36","Cell37","Cell38","Cell39","Cell40","Cell41","Cell42","Cell43","Cell44","Cell45","Cell46","Cell47","Cell48","Cell49","Cell50","Cell51","Cell52","Cell53","Cell54","Cell55","Cell56","Cell57","Cell58","Cell59","Cell60","Cell61","Cell62","Cell63","Cell64","Cell65","Cell66","Cell67","Cell68","Cell69","Cell70","Cell71","Cell72","Cell73","Cell74","Cell75","Cell76","Cell77","Cell78","Cell79","Cell80","Cell81","Cell82","Cell83","Cell84","Cell85","Cell86","Cell87","Cell88","Cell89","Cell90","Cell91","Cell92","Cell93","Cell94","Cell95","Cell96","Cell97","Cell98","Cell99","Cell100","Cell101","Cell102","Cell103","Cell104","Cell105","Cell106","Cell107","Cell108","Cell109","Cell110","Cell111","Cell112","Cell113","Cell114","Cell115","Cell116","Cell117","Cell118","Cell119","Cell120","Cell121","Cell122","Cell123","Cell124","Cell125","Cell126","Cell127","Cell128","Cell129","Cell130","Cell131","Cell132","Cell133","Cell134","Cell135","Cell136","Cell137","Cell138","Cell139","Cell140","Cell141","Cell142","Cell143","Cell144","Cell145","Cell146","Cell147","Cell148","Cell149","Cell150","Cell151","Cell152","Cell153","Cell154","Cell155","Cell156","Cell157","Cell158","Cell159","Cell160","Cell161","Cell162","Cell163","Cell164","Cell165","Cell166","Cell167","Cell168","Cell169","Cell170","Cell171","Cell172","Cell173","Cell174","Cell175","Cell176","Cell177","Cell178","Cell179","Cell180","Cell181","Cell182","Cell183","Cell184","Cell185","Cell186","Cell187","Cell188","Cell189","Cell190","Cell191","Cell192","Cell193","Cell194","Cell195","Cell196","Cell197","Cell198","Cell199","Cell200","Cell201","Cell202","Cell203","Cell204","Cell205","Cell206","Cell207","Cell208","Cell209","Cell210","Cell211","Cell212","Cell213","Cell214","Cell215","Cell216","Cell217","Cell218","Cell219","Cell220","Cell221","Cell222","Cell223","Cell224","Cell225","Cell226","Cell227","Cell228","Cell229","Cell230","Cell231","Cell232","Cell233","Cell234","Cell235","Cell236","Cell237","Cell238","Cell239","Cell240","Cell241","Cell242","Cell243","Cell244","Cell245","Cell246","Cell247","Cell248","Cell249","Cell250","Cell251","Cell252","Cell253","Cell254","Cell255","Cell256","Cell257","Cell258","Cell259","Cell260","Cell261","Cell262","Cell263","Cell264","Cell265","Cell266","Cell267","Cell268","Cell269","Cell270","Cell271","Cell272","Cell273","Cell274","Cell275","Cell276","Cell277","Cell278","Cell279","Cell280","Cell281","Cell282","Cell283","Cell284","Cell285","Cell286","Cell287","Cell288","Cell289","Cell290","Cell291","Cell292","Cell293","Cell294","Cell295","Cell296","Cell297","Cell298","Cell299","Cell300"
"Gene95",0,0,2,0,0,0,1,1,1,1,1,1,1,0,3,1,0,1,0,0,0,3,0,1,3,1,0,1,0,0,2,1,1,1,0,1,1,0,3,2,2,1,1,1,1,1,1,1,0,1,2,2,1,0,1,0,1,0,0,0,0,2,1,1,1,0,0,1,1,0,0,0,1,1,0,0,0,2,1,1,1,0,1,2,3,1,0,0,0,0,0,1,1,2,1,0,1,1,0,0,0,3,0,0,0,3,0,2,0,1,1,0,0,0,1,0,0,1,1,1,0,1,1,3,0,1,1,1,2,2,2,2,2,1,0,0,1,0,1,2,0,0,1,0,2,1,0,2,1,1,1,1,1,0,0,4,0,2,0,6,1,0,2,0,2,5,2,1,4,0,1,0,0,0,2,1,5,0,0,0,0,0,0,4,0,0,1,1,4,5,0,1,1,0,1,2,5,0,0,0,2,0,0,0,0,4,1,1,0,0,5,2,0,0,0,2,1,0,2,1,0,2,1,0,2,2,2,5,1,1,0,1,2,4,1,1,1,2,2,1,4,0,1,1,0,4,1,4,0,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,1,5,2,0,0,2,2,1,1,1,2,0,0,0,1,0,0,4,1,2,2,4,1,0,0,1,4,1,0,2,2,0,2,0
"Gene96",0,2,2,0,2,2,1,2,1,0,0,1,0,1,1,0,1,2,1,1,0,0,2,1,2,0,0,1,2,2,2,0,0,1,2,1,1,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,0,1,1,0,0,2,2,0,1,0,1,0,1,1,0,1,2,1,0,1,2,2,1,0,4,1,1,2,0,0,0,1,0,0,0,1,2,1,0,1,0,1,0,0,1,1,1,0,1,1,0,0,4,0,2,0,2,1,2,1,0,1,0,0,1,1,1,0,0,0,1,1,1,1,1,0,0,1,1,2,2,0,2,0,2,1,1,0,1,0,1,1,0,4,4,0,0,2,0,0,1,4,1,2,0,1,0,1,1,1,4,1,0,2,0,0,1,0,1,1,0,1,2,0,0,0,1,1,1,0,2,0,4,5,1,0,5,0,2,0,2,0,0,4,0,2,1,1,1,4,0,1,1,0,0,0,1,0,0,0,2,0,1,0,2,1,1,0,1,0,0,1,4,1,5,1,2,1,0,0,2,0,1,2,0,0,1,1,1,0,2,2,1,1,0,0,1,0,0,1,1,2,1,2,0,1,0,2,0,1,0,1,2,0,0,1,1,0,1,0,2,1,0,2,0,1,2,0,0,2,4,0,2,0,0,1,2,1,0,0,0
"Gene97",2,1,4,1,3,1,0,1,0,0,1,1,1,1,2,0,1,1,3,1,3,0,1,1,1,4,1,0,0,2,0,0,0,2,2,1,0,0,4,0,0,2,3,1,1,1,1,3,0,0,2,1,2,0,0,2,2,0,1,2,2,0,0,0,2,1,2,0,2,0,0,2,1,3,0,1,0,0,1,0,1,1,2,0,1,1,0,3,1,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0,2,3,1,1,1,0,0,1,1,3,0,0,1,2,1,1,3,1,2,2,0,0,2,1,1,2,1,0,0,1,0,1,2,2,0,2,1,0,0,0,1,0,1,0,2,3,2,0,1,0,2,1,1,0,1,0,5,2,0,1,2,1,0,1,2,1,0,1,0,0,0,2,1,0,0,1,4,0,2,1,0,1,0,1,2,1,0,1,1,0,1,0,1,1,2,1,0,1,2,0,0,0,2,1,4,1,1,4,1,2,0,1,0,1,1,1,4,1,1,4,2,2,1,0,4,1,0,0,0,1,0,4,4,1,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,1,0,2,1,2,2,0,2,1,1,2,0,1,0,1,1,0,4,1,4,0,1,2,1,1,1,1,1,0,1,0,1,4,0,1,1,0,1,2,1,1,1,4,1,0,0,1
"Gene98",0,0,1,0,1,2,0,3,3,0,2,1,0,0,3,2,0,0,2,3,1,2,1,0,2,1,1,0,0,0,1,0,0,1,1,3,2,2,1,0,1,2,2,3,1,1,1,1,2,3,0,0,1,1,2,0,0,0,0,1,0,1,3,1,1,2,0,0,0,1,2,0,0,1,2,1,0,1,2,1,0,2,1,1,0,0,0,1,1,0,1,1,0,1,0,1,1,1,2,1,3,2,1,1,1,0,1,0,4,0,0,1,1,0,2,1,0,4,0,1,1,1,1,0,1,1,1,0,0,1,0,1,0,2,1,1,1,0,0,1,1,1,2,1,2,2,2,3,2,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,4,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,2,4,4,4,0,2,1,4,2,2,0,1,0,0,1,1,1,0,2,1,4,2,4,4,0,1,0,0,2,2,0,1,1,0,0,0,1,0,0,1,1,2,1,1,1,0,1,1,0,0,1,1,1,0,0,1,5,1,4,1,1,1,1,0,1,1,2,0,2,1,1,2,2,1,2,0,2,0,2,1,2,1,2,5,0,1,1,0,2,4,1,1,1,0,4,1,0,0,1,0,4,2,2,2,1,1,4,2,2,2,0,1,4,0,1,0
"Gene99",1,2,0,2,1,2,1,0,0,1,0,1,0,1,0,1,0,2,1,0,0,0,2,2,1,1,1,1,1,1,1,1,0,0,2,3,2,0,0,0,1,0,1,0,0,1,0,2,0,2,1,1,0,3,3,0,1,1,0,1,2,2,1,0,2,0,0,0,1,3,0,2,0,0,2,1,1,2,2,2,1,1,2,3,5,0,0,0,2,2,1,0,2,0,3,2,0,1,0,2,2,1,0,0,0,0,1,0,0,0,0,0,1,1,2,0,1,0,1,0,1,0,1,1,0,0,2,1,1,1,0,1,1,1,1,0,3,2,0,0,0,0,1,1,0,1,1,0,3,1,0,1,1,0,1,1,0,0,1,0,0,2,0,0,1,2,1,0,0,1,1,0,1,4,1,1,0,1,0,2,0,1,0,2,2,2,4,2,1,0,0,0,5,0,0,0,1,0,0,0,0,0,2,0,0,4,0,0,2,1,1,0,2,2,1,0,4,0,0,1,5,0,0,0,0,0,1,0,1,2,2,5,2,0,1,1,0,4,1,1,1,0,5,1,2,0,1,1,0,1,2,1,0,0,2,1,2,0,1,0,2,1,1,4,0,1,1,1,1,1,1,1,0,1,1,2,1,1,1,1,2,2,1,0,4,1,2,0,2,4,2,0,5,0,2,1,2,0,1,0
"Gene100",1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,3,1,0,0,1,0,0,2,1,1,2,1,1,1,0,0,1,1,1,2,0,0,3,0,1,1,0,2,0,1,1,1,2,1,0,1,1,1,0,2,2,2,0,0,2,1,1,0,1,1,0,1,1,0,0,2,1,1,0,0,0,1,0,1,1,1,2,1,1,1,0,0,1,1,0,1,0,0,2,1,0,0,5,0,0,0,2,3,4,0,0,0,1,0,3,0,0,1,2,3,2,0,0,0,1,1,1,0,0,0,1,0,1,1,1,0,2,0,1,1,1,0,3,0,0,1,1,2,1,0,2,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,4,1,0,1,1,0,2,0,0,2,2,2,0,0,0,0,2,1,2,2,5,2,0,2,0,1,0,0,0,1,2,0,2,1,2,1,1,6,2,0,4,0,0,0,4,1,0,0,1,0,0,0,2,0,0,2,1,0,1,1,0,1,2,2,2,0,6,1,0,0,1,1,1,1,0,0,1,5,0,1,2,1,2,1,1,1,4,1,0,1,1,0,2,2,0,1,1,1,1,0,4,1,1,4,1,1,1,2,0,0,2,2,4,2,2,1,2,2,0,1,2,0,0,1,0,2,0,2,0,1,4,0,0,1,0,2,0,0
"Gene101",1,0,2,1,1,0,1,0,1,1,1,1,0,1,2,2,0,3,1,0,0,1,2,2,1,1,1,1,2,1,0,2,0,1,2,1,0,1,0,4,2,1,3,0,1,1,1,0,0,1,1,2,1,1,3,0,2,1,3,1,1,3,1,1,0,1,0,1,1,1,4,0,1,0,1,3,0,0,0,1,1,0,0,0,2,1,2,1,1,0,1,0,1,1,3,0,3,1,0,1,0,0,0,1,3,2,0,0,0,1,0,2,1,2,2,1,0,0,1,1,0,0,0,0,3,1,1,1,2,1,1,1,3,0,0,0,2,0,1,1,1,1,0,2,0,1,1,0,0,0,5,0,1,0,1,2,2,1,1,0,0,0,0,1,1,0,0,1,0,1,0,0,1,4,2,2,1,2,0,1,0,1,1,0,0,1,2,1,4,0,1,2,0,0,2,2,1,0,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,2,0,0,1,1,4,0,1,1,1,1,2,1,1,0,0,1,1,1,0,1,1,4,4,0,1,2,1,2,1,1,0,0,2,0,4,2,0,0,2,1,1,2,0,0,2,1,6,0,0,1,0,2,2,4,4,0,0,0,0,0,2,0,1,4,0,0,0,0,0,1,0,1,1,0,0,1,1,1,0,1,2,2,2,0,1,1
"Gene102",0,1,1,0,0,1,4,1,0,2,2,0,0,2,1,0,2,2,2,1,0,2,0,1,1,1,0,1,0,0,2,0,1,1,3,1,0,0,2,0,0,1,0,0,1,1,3,3,1,1,0,1,1,1,0,3,0,0,0,0,1,3,3,3,2,1,1,1,0,0,1,1,0,1,2,1,1,0,0,4,1,2,2,1,0,4,3,1,1,1,0,0,0,0,1,1,0,3,0,1,2,2,2,0,2,0,3,0,1,0,2,0,0,0,1,1,0,0,1,0,2,1,3,0,0,0,0,1,0,2,1,2,2,1,0,1,1,0,1,0,1,2,1,3,1,0,2,0,0,0,2,0,1,5,0,1,0,0,0,1,1,0,0,1,2,2,0,0,1,2,2,0,0,0,2,1,1,0,2,0,2,1,0,1,4,1,0,4,2,1,0,0,1,0,2,0,0,1,0,0,1,0,5,1,1,2,1,0,4,1,1,0,1,1,1,0,2,1,1,2,1,2,0,0,4,1,2,1,0,2,0,0,0,1,2,0,2,2,1,0,2,0,0,5,0,1,0,1,0,1,1,1,0,0,1,2,0,1,0,5,1,1,1,0,2,2,0,1,0,1,0,0,5,2,0,0,1,0,2,0,2,0,1,2,5,2,0,1,0,1,2,1,2,1,1,1,1,0,1,1
"Gene103",1,0,0,0,1,1,0,0,0,1,1,0,2,4,2,1,0,2,2,1,1,1,1,1,1,0,2,0,3,2,0,1,0,0,1,1,0,1,1,0,0,0,3,0,2,0,0,0,0,4,0,1,1,0,1,1,1,2,1,0,1,1,1,1,1,1,0,1,1,1,3,1,1,0,2,0,3,2,2,0,0,1,0,2,1,1,0,0,1,0,1,0,1,1,0,0,2,3,2,0,2,3,2,3,1,2,0,1,0,1,0,1,1,0,2,0,0,2,2,1,3,2,0,0,2,1,0,0,2,4,2,0,1,4,2,2,2,0,0,0,3,1,0,1,1,0,0,0,1,2,1,0,0,2,2,1,1,0,2,2,0,1,1,1,0,1,1,0,0,0,2,1,0,2,0,0,0,1,0,1,1,1,0,1,2,0,1,2,0,1,5,0,4,0,0,0,2,0,0,0,1,1,4,1,0,1,1,2,1,1,0,2,1,0,0,1,2,2,2,1,2,4,0,0,0,0,1,0,2,0,0,0,4,0,1,1,1,0,0,2,0,1,0,0,1,0,1,1,2,0,1,0,1,4,2,1,0,1,2,1,0,1,0,1,0,1,1,0,0,0,1,2,1,1,0,1,4,1,1,0,2,1,1,1,2,1,1,0,0,0,0,1,1,1,1,1,1,2,1,4
"Gene104",3,0,2,2,3,2,1,1,5,0,0,0,1,1,2,1,0,0,6,0,0,1,0,1,0,0,0,0,4,2,1,0,0,1,1,0,0,0,0,0,1,0,2,1,1,0,1,2,1,0,0,0,0,1,2,3,1,1,0,2,0,1,0,1,0,0,3,1,1,3,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,3,2,1,1,3,0,1,1,1,1,0,0,1,2,0,3,0,0,1,3,1,2,2,1,2,3,0,1,2,1,0,1,1,0,1,0,2,1,0,3,1,0,0,0,0,1,0,5,0,1,2,0,2,1,5,1,3,0,1,0,0,0,1,0,0,0,0,1,0,0,2,2,0,1,0,1,1,2,2,0,1,1,0,0,0,2,2,0,2,0,4,2,1,1,0,4,2,4,7,1,0,0,1,1,1,2,2,1,4,2,1,4,1,0,1,0,2,1,1,4,0,0,0,0,1,1,0,1,0,1,1,1,0,1,5,1,1,1,2,0,1,1,1,1,1,2,1,1,0,1,1,1,2,1,1,0,0,4,1,2,2,1,0,1,2,2,1,2,2,0,0,1,0,2,1,0,1,4,2,2,0,2,0,1,1,0,2,1,1,1,2,1,2,1,2,0,1,0,1,0,1,0,4,0,1,2,1,1,1,0,1,4,1,2
"Gene105",1,0,2,2,1,0,0,1,2,1,2,0,1,2,0,2,0,1,1,0,1,2,0,3,0,0,0,1,0,1,1,1,0,1,1,4,5,2,0,0,2,1,2,2,1,2,0,3,0,0,1,1,1,1,0,1,0,1,0,3,0,0,2,1,1,0,1,1,0,1,1,0,3,0,0,0,1,1,0,1,0,1,0,0,1,3,0,1,0,0,0,1,1,0,1,0,0,2,0,1,0,1,0,0,2,1,0,1,0,0,1,2,2,2,0,2,1,1,0,0,0,2,0,1,1,3,0,2,2,1,1,0,1,1,2,1,0,2,1,2,0,2,1,0,2,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,4,0,6,0,1,4,0,0,0,2,4,2,0,0,0,0,0,0,1,1,0,1,0,2,2,6,0,5,0,2,1,0,2,0,1,1,2,1,1,0,5,1,0,0,0,2,1,1,0,2,2,0,4,2,2,2,0,1,2,0,0,0,1,1,0,5,0,1,0,1,1,0,4,5,2,1,1,0,0,0,2,1,0,2,1,4,0,1,2,0,0,2,0,1,1,0,4,0,0,1,1,4,0,4,1,4,1,1,0,0,1,1,0,2,0,1,2,0,1,0,1,2,0,2,1,1,0,0,1,1,2,0,0,2,0
"Gene106",2,2,1,0,1,0,1,2,0,0,1,1,1,3,0,1,0,1,2,0,1,1,1,1,1,1,0,1,2,0,2,2,0,0,0,2,0,3,1,1,1,1,3,1,1,1,1,0,1,0,2,5,1,2,1,0,0,0,2,1,0,1,0,2,0,0,3,2,2,1,1,1,0,0,3,2,0,0,1,5,0,0,0,0,2,1,1,1,1,0,3,1,0,1,1,1,1,1,2,1,0,1,1,0,1,0,1,1,3,0,1,1,0,1,1,0,0,1,1,0,1,1,0,2,1,0,1,0,2,2,4,2,2,1,2,1,1,0,1,0,0,3,2,2,1,1,2,2,4,1,0,1,2,0,2,0,2,1,1,2,2,1,1,1,1,1,0,1,2,1,0,1,0,1,4,1,0,1,1,1,0,1,0,0,2,1,0,0,1,1,4,0,1,4,0,1,1,0,1,1,5,1,1,2,1,1,1,0,1,0,5,1,0,0,0,2,2,1,2,0,0,1,2,2,1,0,0,1,2,2,1,0,2,4,0,2,0,0,1,1,2,1,1,1,2,0,2,0,0,1,1,1,2,1,0,0,1,1,0,1,4,0,0,1,1,0,0,1,4,0,0,1,0,1,0,5,1,1,1,2,2,0,0,0,0,5,1,0,1,1,0,0,4,5,0,2,1,2,1,0
"Gene107",2,0,1,2,0,1,2,2,3,1,0,3,0,1,0,0,2,1,0,1,1,1,2,1,2,0,1,0,1,1,0,0,1,1,3,0,2,0,0,0,1,3,1,2,2,1,2,1,3,2,2,0,1,0,0,3,1,0,2,0,3,1,4,1,1,1,1,2,1,3,3,0,1,0,1,0,1,3,0,1,0,0,2,1,1,1,2,1,1,2,0,3,2,0,2,3,1,0,2,3,2,0,0,1,0,1,0,0,2,0,0,0,1,1,1,2,1,0,4,0,0,3,1,3,2,1,3,2,0,2,0,1,1,0,1,2,1,0,0,1,2,1,2,1,0,1,0,2,1,0,0,1,0,0,4,0,1,0,0,2,4,2,1,0,0,0,1,0,2,0,2,0,2,0,1,1,1,0,2,0,1,2,1,0,0,1,4,0,0,0,0,1,1,1,1,1,0,4,1,4,0,0,0,2,1,1,2,2,0,4,2,0,1,1,0,2,0,1,0,0,0,2,2,1,4,0,1,0,1,1,0,2,0,0,2,1,0,4,1,0,2,0,5,0,1,0,0,1,0,2,0,2,1,1,1,0,4,2,0,0,1,0,1,4,2,0,1,2,1,0,0,2,0,4,0,2,4,1,1,1,6,2,5,0,1,1,0,0,1,0,2,1,0,0,5,2,0,1,2,2
"Gene108",1,2,3,0,0,0,0,1,1,1,1,2,2,2,0,1,1,2,0,2,2,0,1,1,0,1,1,1,1,2,2,0,0,0,1,0,0,0,3,2,2,2,3,0,0,0,2,0,0,0,0,2,2,0,1,0,1,1,1,3,1,0,2,1,0,1,1,0,0,0,1,0,1,0,1,0,1,2,0,1,1,1,4,3,1,2,2,1,1,0,0,1,0,4,0,0,1,1,3,2,2,1,1,3,0,2,1,1,0,1,2,1,0,2,2,0,2,1,0,2,1,0,2,0,1,1,1,0,1,0,0,2,2,0,1,3,0,3,1,0,0,0,0,1,1,1,2,0,0,0,0,0,1,4,5,0,1,0,2,0,1,1,1,1,1,2,1,0,1,5,0,0,1,2,2,0,0,4,1,0,1,0,0,0,0,0,1,2,0,0,0,0,5,1,2,1,1,1,0,2,1,2,4,2,0,1,0,0,2,1,2,0,0,0,4,4,0,2,0,4,2,0,1,0,4,0,1,1,0,1,1,2,4,0,1,1,1,2,2,2,1,1,1,1,0,0,1,1,0,0,2,0,2,1,0,1,1,2,1,1,0,0,4,4,0,2,0,0,0,1,0,0,0,0,0,2,0,1,0,1,0,4,5,1,1,1,0,4,0,2,2,1,2,2,1,0,0,1,0,1
"Gene109",1,0,3,1,2,1,2,3,1,0,2,1,1,0,0,1,0,1,1,1,1,0,1,1,0,5,2,0,3,1,0,2,1,3,0,0,0,3,1,4,1,0,1,2,0,1,2,1,1,0,1,0,2,1,0,0,2,2,1,2,0,1,2,0,2,2,2,1,1,0,0,2,0,2,1,5,0,1,2,0,1,3,1,1,0,0,1,0,1,1,0,2,0,1,0,2,0,1,0,1,0,0,0,0,2,0,2,0,2,1,0,1,2,2,2,2,1,0,1,0,2,3,0,1,0,2,0,1,1,0,1,2,1,2,0,0,3,2,1,2,1,1,1,1,1,0,0,1,1,2,6,0,2,1,1,0,2,1,1,0,0,1,0,0,4,2,0,0,1,1,4,4,2,1,0,0,0,1,1,1,2,1,4,2,2,1,0,2,0,4,2,1,1,1,1,0,1,0,1,0,1,4,2,0,1,0,2,2,0,0,1,1,0,2,4,0,1,1,1,0,1,1,2,0,1,0,0,1,1,1,1,0,1,2,1,2,1,0,5,2,1,0,0,0,2,0,0,0,0,2,4,2,4,1,2,1,1,0,2,0,2,2,1,2,1,0,1,2,1,1,0,1,0,0,0,2,0,0,0,4,0,1,1,0,2,2,1,2,2,1,5,1,1,0,0,0,0,2,2,1
"Gene110",0,1,1,1,2,1,0,0,2,0,2,1,2,1,1,1,3,1,0,0,2,2,1,1,1,1,0,0,2,2,1,3,2,1,1,0,2,1,2,1,1,2,3,1,0,0,2,1,2,0,2,1,0,2,2,2,1,1,1,0,3,0,3,1,1,1,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,2,1,0,2,1,2,1,2,3,0,0,1,0,0,1,2,3,1,0,1,0,0,1,1,1,1,2,0,0,1,0,0,3,0,0,0,0,2,1,1,3,2,0,1,2,1,3,2,2,1,1,1,1,3,0,1,1,0,1,0,1,0,1,0,3,0,0,2,0,0,5,0,0,2,0,4,1,2,1,1,1,1,1,2,0,0,1,1,0,1,1,1,0,1,0,0,0,2,2,2,0,1,0,4,0,1,1,2,1,1,1,0,0,4,1,0,2,0,1,2,2,1,0,1,0,1,5,2,0,0,1,4,5,0,0,4,1,0,0,1,1,2,0,0,1,1,1,0,1,0,5,0,1,0,1,4,2,1,1,0,4,2,0,0,1,0,1,6,1,1,0,1,1,0,2,1,4,1,4,0,4,2,0,2,0,1,0,1,0,1,2,0,1,1,1,1,2,1,0,2,4,2,0,1,0,1,1,2,0,0,0,2,1,1,2
"Gene111",3,1,0,1,1,2,0,1,1,2,0,0,1,1,1,2,0,3,0,1,0,3,2,2,0,0,2,3,0,0,0,1,1,3,1,1,0,0,0,1,1,1,0,2,1,0,1,2,1,0,4,0,2,3,2,0,2,2,0,0,2,1,4,0,0,0,2,1,1,1,2,1,0,1,1,2,0,1,1,1,1,1,0,2,1,0,2,1,0,0,3,2,1,1,2,0,4,1,0,1,1,0,1,0,2,3,2,0,2,0,1,3,1,1,0,2,2,1,1,2,1,1,0,1,1,0,2,1,0,1,0,4,4,0,2,1,1,1,0,1,0,0,1,2,3,0,1,3,0,0,0,1,2,0,0,0,2,1,1,0,0,1,1,0,1,1,1,1,1,1,0,0,1,1,1,2,0,2,0,1,0,0,1,1,1,0,0,0,2,0,0,1,1,0,1,0,0,0,1,0,0,1,0,2,1,1,1,1,1,4,2,0,1,0,0,2,4,2,4,4,1,0,0,1,1,1,1,0,1,0,0,2,2,0,0,1,0,2,1,2,4,2,1,0,1,0,2,1,0,2,1,4,1,0,1,1,2,2,1,1,0,1,2,1,1,1,0,1,1,0,1,0,0,1,1,1,2,0,2,1,1,1,2,0,1,0,4,1,0,0,1,1,0,1,2,5,1,0,1,1
"Gene112",0,0,2,1,0,0,0,1,0,0,0,1,1,0,0,0,2,2,0,1,2,1,1,1,2,1,2,0,0,1,0,1,1,1,0,0,1,0,1,1,0,1,0,0,3,0,1,1,0,1,2,2,0,0,0,1,0,1,0,3,2,0,0,0,0,1,1,0,1,1,1,1,1,0,1,2,3,1,3,1,1,2,0,1,0,3,3,0,0,3,0,0,2,3,2,1,0,1,0,0,2,1,1,1,3,0,3,6,1,0,2,1,1,0,1,0,0,1,0,1,0,0,0,3,2,1,0,2,1,1,1,1,1,1,1,2,0,0,0,1,1,0,0,0,0,1,0,1,3,1,2,0,0,1,2,0,0,1,1,0,0,0,2,0,1,2,1,0,0,2,0,1,0,1,4,1,1,0,1,2,1,2,0,5,0,0,0,0,4,1,1,0,5,0,0,0,1,2,0,0,0,0,2,0,2,4,1,0,0,0,0,0,6,0,4,1,1,5,0,0,2,1,1,0,1,2,2,0,1,1,1,4,0,0,1,2,2,0,2,1,1,0,2,4,4,2,1,1,0,1,1,1,2,1,0,1,1,1,4,0,2,0,0,0,1,1,0,2,0,1,1,1,1,6,0,0,1,1,0,4,0,0,1,0,2,0,0,2,0,1,1,1,1,2,0,1,0,1,0,1
"Gene113",0,0,1,1,0,0,1,1,1,4,3,1,2,2,1,1,0,1,0,0,1,1,0,1,0,1,1,2,0,1,3,0,2,3,1,1,1,1,3,1,1,1,0,4,1,1,2,0,2,0,0,0,1,0,2,1,0,0,1,0,2,1,3,2,0,0,0,0,0,1,0,0,1,1,0,3,3,1,1,0,3,1,0,1,0,0,0,0,0,1,2,0,0,1,0,1,4,0,1,0,2,3,1,3,1,0,1,1,1,1,1,2,1,1,3,3,0,1,0,2,1,0,1,1,0,0,2,0,2,0,1,2,1,0,1,1,1,0,0,3,0,0,1,1,0,1,2,0,0,1,0,4,4,1,2,4,2,0,2,0,1,1,5,2,1,2,1,0,2,2,0,0,0,0,0,4,1,1,1,1,1,2,1,1,0,1,0,0,0,2,1,0,1,2,2,1,0,1,1,1,0,1,4,1,1,4,2,0,1,1,0,0,1,0,1,4,2,1,2,0,0,1,1,0,0,2,4,2,0,2,5,4,1,1,0,0,4,1,2,4,0,1,1,4,1,2,0,1,1,1,1,4,1,0,1,0,0,2,2,0,1,4,1,1,0,2,0,2,0,1,1,1,1,1,2,5,1,1,4,2,2,0,2,1,0,0,0,0,1,0,0,1,2,1,0,0,0,1,1,1
"Gene114",3,4,1,4,1,1,1,0,1,1,0,0,1,1,1,0,0,1,3,0,3,1,0,1,1,1,0,2,2,0,1,0,2,2,0,0,1,1,2,0,0,1,2,1,0,2,2,2,0,1,2,0,1,0,3,1,1,1,0,1,1,2,0,1,0,1,1,1,0,1,2,0,0,0,1,0,2,0,3,0,0,2,2,1,2,1,0,1,2,1,0,1,2,0,0,1,1,0,2,0,2,3,1,1,0,0,2,4,0,1,0,0,1,2,0,1,1,2,1,0,1,1,0,1,1,1,1,1,0,0,1,0,2,0,0,2,0,0,0,1,2,1,3,1,2,1,0,0,1,2,1,0,0,1,1,1,0,0,4,1,1,0,0,0,0,0,0,2,0,1,0,2,1,0,4,2,0,2,2,1,0,1,0,5,1,1,1,1,1,1,0,5,2,0,0,2,2,1,0,1,0,0,0,2,0,2,0,2,1,1,2,0,1,1,1,0,5,1,2,4,2,1,1,1,1,2,2,0,1,0,0,0,1,0,0,5,1,2,4,0,2,1,4,0,1,1,1,1,0,0,1,0,1,1,0,1,0,2,0,0,2,1,1,2,0,2,0,5,1,2,0,0,1,1,1,0,0,1,0,0,0,0,0,1,2,1,2,0,0,1,1,1,0,0,2,1,4,1,0,1
