"cell_id","cell_type_truth","batch","nCount_RNA","nFeature_RNA","percent_mt"
"Cell81","Type3","Batch1",603,327,2.81923714759536
"Cell82","Type1","Batch1",665,357,13.984962406015
"Cell83","Type2","Batch1",606,316,3.96039603960396
"Cell84","Type3","Batch1",600,323,3.5
"Cell85","Type1","Batch1",614,333,16.9381107491857
"Cell86","Type2","Batch1",645,334,2.63565891472868
"Cell87","Type3","Batch1",623,345,3.37078651685393
"Cell88","Type1","Batch1",597,321,17.9229480737018
"Cell89","Type2","Batch1",603,333,2.81923714759536
"Cell90","Type3","Batch1",604,315,2.1523178807947
"Cell91","Type1","Batch1",667,331,14.8425787106447
"Cell92","Type2","Batch1",634,327,2.6813880126183
"Cell93","Type3","Batch1",576,311,2.25694444444444
"Cell94","Type1","Batch1",619,330,15.8319870759289
"Cell95","Type2","Batch1",629,331,2.86168521462639
"Cell96","Type3","Batch1",619,317,3.55411954765751
"Cell97","Type1","Batch1",662,338,14.9546827794562
"Cell98","Type2","Batch1",632,317,3.63924050632911
"Cell99","Type3","Batch1",613,330,2.77324632952692
"Cell100","Type1","Batch1",593,317,19.8988195615514
"Cell101","Type2","Batch1",676,343,2.9585798816568
"Cell102","Type3","Batch1",631,318,1.743264659271
"Cell103","Type1","Batch1",578,299,17.4740484429066
"Cell104","Type2","Batch1",598,321,4.34782608695652
"Cell105","Type3","Batch1",612,328,2.77777777777778
"Cell106","Type1","Batch1",629,317,16.2162162162162
"Cell107","Type2","Batch1",632,330,2.68987341772152
"Cell108","Type3","Batch1",625,328,3.36
"Cell109","Type1","Batch1",613,326,15.9869494290375
"Cell110","Type2","Batch1",624,319,2.72435897435897
"Cell111","Type3","Batch1",636,340,3.14465408805031
"Cell112","Type1","Batch1",635,336,14.3307086614173
"Cell113","Type2","Batch1",626,328,4.15335463258786
"Cell114","Type3","Batch1",634,336,4.10094637223975
"Cell115","Type1","Batch1",596,315,17.6174496644295
"Cell116","Type2","Batch1",639,333,3.12989045383412
"Cell117","Type3","Batch1",591,313,3.04568527918782
"Cell118","Type1","Batch1",649,319,16.7950693374422
"Cell119","Type2","Batch1",636,336,2.35849056603774
"Cell120","Type3","Batch1",633,332,2.68562401263823
"Cell121","Type1","Batch1",664,355,16.4156626506024
"Cell122","Type2","Batch1",605,319,1.98347107438017
"Cell123","Type3","Batch1",593,308,2.52951096121417
"Cell124","Type1","Batch1",596,337,15.6040268456376
"Cell125","Type2","Batch1",630,344,3.33333333333333
"Cell126","Type3","Batch1",611,338,2.94599018003273
"Cell127","Type1","Batch1",605,318,17.1900826446281
"Cell128","Type2","Batch1",594,311,3.53535353535354
"Cell129","Type3","Batch1",601,332,3.32778702163062
"Cell130","Type1","Batch1",642,330,15.7320872274143
"Cell131","Type2","Batch1",606,321,2.97029702970297
"Cell132","Type3","Batch1",642,334,3.27102803738318
"Cell133","Type1","Batch1",630,333,14.2857142857143
"Cell134","Type2","Batch1",636,332,3.77358490566038
"Cell135","Type3","Batch1",606,312,3.46534653465347
"Cell136","Type1","Batch1",616,315,16.2337662337662
"Cell137","Type2","Batch1",599,310,2.33722871452421
"Cell138","Type3","Batch1",647,324,2.31839258114374
"Cell139","Type1","Batch1",642,328,16.3551401869159
"Cell140","Type2","Batch1",599,322,3.00500834724541
"Cell141","Type3","Batch1",587,320,3.74787052810903
"Cell142","Type1","Batch1",574,312,17.595818815331
"Cell143","Type2","Batch1",626,334,3.99361022364217
"Cell144","Type3","Batch1",597,336,1.00502512562814
"Cell145","Type1","Batch1",591,309,13.5363790186125
"Cell146","Type2","Batch1",638,349,3.44827586206897
"Cell147","Type3","Batch1",627,319,2.87081339712919
"Cell148","Type1","Batch1",597,339,13.5678391959799
"Cell149","Type2","Batch1",623,333,3.69181380417336
"Cell150","Type3","Batch1",612,326,1.96078431372549
"Cell151","Type1","Batch2",672,314,16.2202380952381
"Cell152","Type2","Batch2",678,330,3.83480825958702
"Cell153","Type3","Batch2",664,329,2.56024096385542
"Cell154","Type1","Batch2",726,322,19.2837465564738
"Cell155","Type2","Batch2",742,339,1.88679245283019
"Cell156","Type3","Batch2",640,323,1.875
"Cell157","Type1","Batch2",697,343,17.0731707317073
"Cell158","Type2","Batch2",692,320,4.1907514450867
"Cell159","Type3","Batch2",664,314,2.71084337349398
"Cell160","Type1","Batch2",722,332,16.0664819944598
"Cell161","Type2","Batch2",693,336,3.8961038961039
"Cell162","Type3","Batch2",739,344,2.57104194857916
"Cell163","Type1","Batch2",610,303,20.655737704918
"Cell164","Type2","Batch2",705,327,1.56028368794326
"Cell165","Type3","Batch2",681,339,2.79001468428781
"Cell166","Type1","Batch2",651,328,17.2043010752688
"Cell167","Type2","Batch2",706,329,2.69121813031161
"Cell168","Type3","Batch2",666,317,3.6036036036036
"Cell169","Type1","Batch2",684,327,18.7134502923977
"Cell170","Type2","Batch2",718,351,4.45682451253482
"Cell171","Type3","Batch2",772,346,3.10880829015544
"Cell172","Type1","Batch2",635,302,21.259842519685
"Cell173","Type2","Batch2",711,342,2.81293952180028
"Cell174","Type3","Batch2",645,315,3.10077519379845
"Cell175","Type1","Batch2",676,321,17.7514792899408
"Cell176","Type2","Batch2",676,334,3.25443786982249
"Cell177","Type3","Batch2",735,326,3.12925170068027
"Cell178","Type1","Batch2",647,335,16.8469860896445
"Cell179","Type2","Batch2",736,340,3.125
"Cell180","Type3","Batch2",706,316,1.98300283286119
"Cell181","Type1","Batch2",699,329,17.310443490701
"Cell182","Type2","Batch2",724,322,3.03867403314917
"Cell183","Type3","Batch2",707,319,2.54596888260255
"Cell184","Type1","Batch2",707,324,17.2560113154173
"Cell185","Type2","Batch2",688,320,3.19767441860465
"Cell186","Type3","Batch2",736,344,2.98913043478261
"Cell187","Type1","Batch2",687,323,17.3216885007278
"Cell188","Type2","Batch2",755,350,3.17880794701987
"Cell189","Type3","Batch2",699,329,3.29041487839771
"Cell190","Type1","Batch2",693,325,18.4704184704185
"Cell191","Type2","Batch2",713,332,2.10378681626928
"Cell192","Type3","Batch2",693,325,3.75180375180375
"Cell193","Type1","Batch2",724,342,18.0939226519337
"Cell194","Type2","Batch2",662,333,3.62537764350453
"Cell195","Type3","Batch2",656,311,2.59146341463415
"Cell196","Type1","Batch2",659,335,15.7814871016692
"Cell197","Type2","Batch2",650,322,4.46153846153846
"Cell198","Type3","Batch2",727,339,2.75103163686382
"Cell199","Type1","Batch2",693,309,18.7590187590188
"Cell200","Type2","Batch2",704,335,3.40909090909091
"Cell201","Type3","Batch2",686,326,3.06122448979592
"Cell202","Type1","Batch2",670,326,14.0298507462687
"Cell203","Type2","Batch2",703,330,3.55618776671408
"Cell204","Type3","Batch2",694,336,3.1700288184438
"Cell205","Type1","Batch2",666,320,16.0660660660661
"Cell206","Type2","Batch2",684,321,2.48538011695906
"Cell207","Type3","Batch2",735,347,2.44897959183673
"Cell208","Type1","Batch2",693,336,16.4502164502165
"Cell209","Type2","Batch2",699,336,3.57653791130186
"Cell210","Type3","Batch2",708,316,3.53107344632768
"Cell211","Type1","Batch2",672,333,15.327380952381
"Cell212","Type2","Batch2",637,338,3.2967032967033
"Cell213","Type3","Batch2",696,326,3.30459770114943
"Cell214","Type1","Batch2",714,320,20.7282913165266
"Cell215","Type2","Batch2",720,318,2.63888888888889
"Cell216","Type3","Batch2",695,306,2.87769784172662
"Cell217","Type1","Batch2",642,319,18.6915887850467
"Cell218","Type2","Batch2",678,329,2.21238938053097
"Cell219","Type3","Batch2",713,331,2.52454417952314
"Cell220","Type1","Batch2",728,329,18.6813186813187
"Cell221","Type2","Batch2",688,332,3.77906976744186
"Cell222","Type3","Batch2",694,317,2.30547550432277
"Cell223","Type1","Batch2",732,336,17.2131147540984
"Cell224","Type2","Batch2",683,323,3.66032210834553
"Cell225","Type3","Batch2",732,338,3.96174863387978
"Cell226","Type1","Batch2",658,326,15.9574468085106
"Cell227","Type2","Batch2",715,340,3.35664335664336
"Cell228","Type3","Batch2",731,338,4.10396716826265
"Cell229","Type1","Batch2",643,312,19.2846034214619
"Cell230","Type2","Batch2",652,315,3.06748466257669
"Cell231","Type3","Batch2",704,317,3.40909090909091
"Cell232","Type1","Batch2",741,332,16.5991902834008
"Cell233","Type2","Batch2",727,331,3.57634112792297
"Cell234","Type3","Batch2",681,330,4.55212922173275
"Cell235","Type1","Batch2",708,314,19.9152542372881
"Cell236","Type2","Batch2",687,326,3.05676855895197
"Cell237","Type3","Batch2",661,315,2.87443267776097
"Cell238","Type1","Batch2",708,326,15.819209039548
"Cell239","Type2","Batch2",665,316,3.60902255639098
"Cell240","Type3","Batch2",700,338,2.85714285714286
"Cell241","Type1","Batch2",682,324,16.1290322580645
"Cell242","Type2","Batch2",678,331,3.68731563421829
"Cell243","Type3","Batch2",644,310,3.26086956521739
"Cell244","Type1","Batch2",649,319,17.5654853620955
"Cell245","Type2","Batch2",686,334,4.51895043731778
"Cell246","Type3","Batch2",660,314,1.96969696969697
"Cell247","Type1","Batch2",673,332,19.1679049034175
"Cell248","Type2","Batch2",710,336,4.36619718309859
"Cell249","Type3","Batch2",689,327,2.90275761973875
"Cell250","Type1","Batch2",665,330,16.8421052631579
"Cell251","Type2","Batch2",710,347,2.11267605633803
"Cell252","Type3","Batch2",694,331,2.59365994236311
"Cell253","Type1","Batch2",710,325,17.6056338028169
"Cell254","Type2","Batch2",645,314,1.86046511627907
"Cell255","Type3","Batch2",714,341,3.0812324929972
"Cell256","Type1","Batch2",668,326,17.2155688622755
"Cell257","Type2","Batch2",632,313,2.05696202531646
"Cell258","Type3","Batch2",735,328,2.17687074829932
"Cell259","Type1","Batch2",675,329,17.3333333333333
"Cell260","Type2","Batch2",713,319,4.76858345021038
"Cell261","Type3","Batch2",696,336,3.44827586206897
"Cell262","Type1","Batch2",695,332,17.2661870503597
"Cell263","Type2","Batch2",681,319,3.67107195301028
"Cell264","Type3","Batch2",695,325,2.15827338129496
"Cell265","Type1","Batch2",685,333,18.978102189781
"Cell266","Type2","Batch2",672,332,2.97619047619048
"Cell267","Type3","Batch2",645,333,4.03100775193798
"Cell268","Type1","Batch2",706,327,18.1303116147309
"Cell269","Type2","Batch2",690,337,2.60869565217391
"Cell270","Type3","Batch2",723,342,4.01106500691563
"Cell271","Type1","Batch2",690,326,15.7971014492754
"Cell272","Type2","Batch2",690,334,3.18840579710145
"Cell273","Type3","Batch2",645,312,2.32558139534884
"Cell274","Type1","Batch2",755,339,17.3509933774834
"Cell275","Type2","Batch2",709,349,3.80818053596615
"Cell276","Type3","Batch2",714,343,2.24089635854342
"Cell277","Type1","Batch2",676,317,17.0118343195266
"Cell278","Type2","Batch2",666,316,2.4024024024024
"Cell279","Type3","Batch2",683,331,3.66032210834553
"Cell280","Type1","Batch2",667,344,16.6416791604198
"Cell281","Type2","Batch2",648,316,2.16049382716049
"Cell282","Type3","Batch2",679,325,3.68188512518409
"Cell283","Type1","Batch2",713,348,17.3913043478261
"Cell284","Type2","Batch2",669,315,3.58744394618834
"Cell285","Type3","Batch2",713,334,2.24403927068724
"Cell286","Type1","Batch2",712,341,16.1516853932584
"Cell287","Type2","Batch2",661,296,2.42057488653555
"Cell288","Type3","Batch2",716,312,3.07262569832402
"Cell289","Type1","Batch2",697,330,14.9210903873745
"Cell290","Type2","Batch2",636,318,1.88679245283019
"Cell291","Type3","Batch2",633,312,4.10742496050553
"Cell292","Type1","Batch2",680,333,19.4117647058824
"Cell293","Type2","Batch2",757,341,4.09511228533686
"Cell294","Type3","Batch2",703,335,3.55618776671408
"Cell295","Type1","Batch2",664,324,18.0722891566265
"Cell296","Type2","Batch2",691,330,3.32850940665702
"Cell297","Type3","Batch2",714,327,3.78151260504202
"Cell298","Type1","Batch2",726,326,16.6666666666667
"Cell299","Type2","Batch2",646,314,3.56037151702786
"Cell300","Type3","Batch2",701,330,3.56633380884451
